t,x,y,z
151.96,-11.08515550097174,-16.421990723558846,22.862428132153227
151.965,-11.349140691903573,-16.609440788971835,23.4772966849472
151.97,-11.608635814317498,-16.765143332801863,24.115640166615897
151.975,-11.862366981166419,-16.88653485291806,24.77535401363541
151.98,-12.108997905820733,-16.971252387863178,25.453949208638843
151.985,-12.347129902069675,-17.01713351685368,26.148552280420397
151.99,-12.575301884115945,-17.0222163597789,26.85590530391947
151.995,-12.791990366583848,-16.984739577202685,27.572365900244343
152.0,-12.995609464513809,-16.903142370362108,28.293907236656427
152.005,-13.184510893363763,-16.776064481167765,29.01611802657428
152.01,-13.356983969009146,-16.602346192203875,29.734202529573498
152.015,-13.51125560774291,-16.381028326728217,30.442980551386775
152.02,-13.645490326276214,-16.111352248670418,31.136887443907835
152.025,-13.758050081600244,-15.793638170163424,31.810164380761368
152.03,-13.848123822808748,-15.430989322407012,32.45787092455434
152.035,-13.91482011175346,-15.025813836784106,33.07557562608906
152.04,-13.957391963874827,-14.580732029492221,33.65922246122463
152.045,-13.975260101902073,-14.098660783943062,34.2051386777883
152.05,-13.968012955853098,-13.582813550759502,34.71003479557828
152.055,-13.935406663034776,-13.03670034778751,35.17100460635246
152.06,-13.877365068042717,-12.464127760078528,35.58552517384566
152.065,-13.793979722761282,-11.86919893990102,35.95145683375789
152.07,-13.68550988636361,-11.256313606737642,36.26704319375734
152.075,-13.552382525311636,-10.630168047285268,36.53091113348038
152.08,-13.395192313355103,-9.9957551154513,36.74207080453266
152.085,-13.214701631535304,-9.358364232368226,36.89991563048449
152.09,-13.011840568179673,-8.723581386371857,37.00422230687819
152.095,-12.787706918905291,-8.097289133015837,37.05515080122287
152.1,-12.543743938932531,-7.484633920562532,37.0545272115609
152.105,-12.282013146071513,-6.888225506962723,37.00691058563222
152.11,-12.0044639307229,-6.311167868771974,36.91522592983666
152.115,-11.71299508487607,-5.756222049841634,36.78236696945036
152.12,-11.409462439783193,-5.225757941166758,36.61126699617657
152.125,-11.095678865965485,-4.7217542808993755,36.40489886814748
152.13,-10.773414273211658,-4.245798654345131,36.16627500992385
152.135,-10.444395610577919,-3.7990874939632873,35.89844741249498
152.14,-10.110306866388004,-3.382426079366772,35.60450763327877
